ciudad,date,value
Santa Cruz Metrópoli,2014-09-01,144218.51729563507
El Alto; La Paz,2014-10-01,70866.23902791958
Caranavi,2014-10-01,272.23192595397455
Riberalta,2014-10-01,1027.6562410206968
Oruro,2014-10-01,16748.97255468886
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2014-10-01,52918.27340331624
Trinidad,2014-10-01,2123.38922714343
Potosí,2014-10-01,7515.484130912773
Sucre,2014-10-01,8285.48700990473
Tarija,2014-10-01,7012.665377417848
Montero,2014-10-01,3323.789587356705
Santa Cruz de la Sierra,2014-10-01,58311.71022666729
Santa Cruz Metrópoli,2014-10-01,91435.85924549258
El Alto; La Paz,2014-11-01,68719.87886666614
Caranavi,2014-11-01,169.01368979920164
Riberalta,2014-11-01,1023.905073034829
Oruro,2014-11-01,16268.86663208467
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2014-11-01,53799.72921231765
Trinidad,2014-11-01,2251.6495875220717
Potosí,2014-11-01,8123.772362830849
Sucre,2014-11-01,8386.360850800718
Tarija,2014-11-01,6147.095117730546
Montero,2014-11-01,3441.2630004111456
Santa Cruz de la Sierra,2014-11-01,59754.29186058137
Santa Cruz Metrópoli,2014-11-01,94505.77499447191
El Alto; La Paz,2014-12-01,51552.39691882399
Caranavi,2014-12-01,242.86953516488572
Riberalta,2014-12-01,1116.6531188839363
Oruro,2014-12-01,14662.203221065156
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2014-12-01,47363.767111376015
Trinidad,2014-12-01,1782.2855022895103
Potosí,2014-12-01,6802.137730862987
Sucre,2014-12-01,6826.390552035068
Tarija,2014-12-01,5853.64743589087
Montero,2014-12-01,2393.5345101064468
Santa Cruz de la Sierra,2014-12-01,49651.03592181969
Santa Cruz Metrópoli,2014-12-01,75324.92312087414
El Alto; La Paz,2015-01-01,52599.41958530872
Caranavi,2015-01-01,212.35081089916184
Riberalta,2015-01-01,9.768356584523824
Oruro,2015-01-01,14862.260678623887
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-01-01,54154.61990167499
Trinidad,2015-01-01,2710.952646524364
Potosí,2015-01-01,7207.7249095726265
Sucre,2015-01-01,6920.66413978794
Tarija,2015-01-01,6870.094296769766
Montero,2015-01-01,2773.363755107336
Santa Cruz de la Sierra,2015-01-01,51325.112089341164
Santa Cruz Metrópoli,2015-01-01,97248.38258602783
El Alto; La Paz,2015-02-01,61886.5526627765
Caranavi,2015-02-01,318.783369898584
Riberalta,2015-02-01,790.4748240749334
Oruro,2015-02-01,16419.82234436754
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-02-01,45937.8402332944
Trinidad,2015-02-01,2067.806591387794
Potosí,2015-02-01,8665.634114670169
Sucre,2015-02-01,8482.929964579263
Tarija,2015-02-01,6031.436872161607
Montero,2015-02-01,2950.7093731251434
Santa Cruz de la Sierra,2015-02-01,56619.27866182794
Santa Cruz Metrópoli,2015-02-01,122400.49287667766
El Alto; La Paz,2015-03-01,59054.13870264983
Caranavi,2015-03-01,313.6475262107439
Riberalta,2015-03-01,1326.6437755633697
Oruro,2015-03-01,16089.506689822789
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-03-01,44504.02463952688
Trinidad,2015-03-01,1746.9267421919417
Potosí,2015-03-01,7500.114792148972
Sucre,2015-03-01,8100.537243217579
Tarija,2015-03-01,5667.932572547942
Montero,2015-03-01,3082.5579309933314
Santa Cruz de la Sierra,2015-03-01,63357.536240752976
Santa Cruz Metrópoli,2015-03-01,116191.49727573441
El Alto; La Paz,2015-04-01,135630.28740282496
Caranavi,2015-04-01,180.68068187676167
Riberalta,2015-04-01,987.4684011270964
Oruro,2015-04-01,16422.74545337944
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-04-01,54311.870825687045
Trinidad,2015-04-01,1990.2042604412968
Potosí,2015-04-01,7569.672395998153
Sucre,2015-04-01,8575.541130524405
Tarija,2015-04-01,6662.045454716912
Montero,2015-04-01,3090.317685289651
Santa Cruz de la Sierra,2015-04-01,51160.19414049194
Santa Cruz Metrópoli,2015-04-01,81203.55447462026
El Alto; La Paz,2015-05-01,74087.93269665843
Caranavi,2015-05-01,164.04659173510916
Riberalta,2015-05-01,1040.1702362149863
Oruro,2015-05-01,17768.851400278523
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-05-01,59372.001678202854
Trinidad,2015-05-01,2152.323942475437
Potosí,2015-05-01,9445.347209827025
Sucre,2015-05-01,9191.042656096422
Tarija,2015-05-01,7967.926516944434
Montero,2015-05-01,3496.8113643766515
Santa Cruz de la Sierra,2015-05-01,65776.9979690002
Santa Cruz Metrópoli,2015-05-01,82063.1376525206
El Alto; La Paz,2015-06-01,76894.71525856943
Caranavi,2015-06-01,183.86966865192724
Riberalta,2015-06-01,1242.0317913838112
Oruro,2015-06-01,18513.45972913592
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-06-01,60692.60773623801
Trinidad,2015-06-01,2430.0118377429317
Potosí,2015-06-01,9378.661637868983
Sucre,2015-06-01,9537.049634755584
Tarija,2015-06-01,6957.941104984622
Montero,2015-06-01,3337.1233252947536
Santa Cruz de la Sierra,2015-06-01,58551.095677268146
Santa Cruz Metrópoli,2015-06-01,81630.64168623525
El Alto; La Paz,2015-07-01,82091.77388159707
Caranavi,2015-07-01,174.29633460341722
Riberalta,2015-07-01,1247.182344048403
Oruro,2015-07-01,19467.62112411314
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-07-01,61946.011373260924
Trinidad,2015-07-01,2245.4404305844373
Potosí,2015-07-01,10294.991198120139
Sucre,2015-07-01,9716.09580568625
Tarija,2015-07-01,8655.445424916836
Montero,2015-07-01,2970.8682631648207
Santa Cruz de la Sierra,2015-07-01,67073.12475570885
Santa Cruz Metrópoli,2015-07-01,77324.59829860314
El Alto; La Paz,2015-08-01,70593.54433225274
Caranavi,2015-08-01,169.18615763642438
Riberalta,2015-08-01,1221.4246762740827
Oruro,2015-08-01,18500.41050378262
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-08-01,57698.40511013555
Trinidad,2015-08-01,2297.5979729154565
Potosí,2015-08-01,8417.325242815492
Sucre,2015-08-01,9666.614268667214
Tarija,2015-08-01,8809.737573928294
Montero,2015-08-01,3022.152362575631
Santa Cruz de la Sierra,2015-08-01,67880.04309817773
Santa Cruz Metrópoli,2015-08-01,91536.47687769073
El Alto; La Paz,2015-09-01,77608.73157942563
Caranavi,2015-09-01,186.42140105541912
Riberalta,2015-09-01,1202.1853697657643
Oruro,2015-09-01,18565.494636011314
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-09-01,58834.06049128594
Trinidad,2015-09-01,2246.3313727721415
Potosí,2015-09-01,9575.548894508507
Sucre,2015-09-01,9797.04104274836
Tarija,2015-09-01,10202.299410995318
Montero,2015-09-01,3385.706891367775
Santa Cruz de la Sierra,2015-09-01,69456.33390159026
Santa Cruz Metrópoli,2015-09-01,108259.46243904975
El Alto; La Paz,2015-10-01,78303.48303297943
Caranavi,2015-10-01,241.688526532572
Riberalta,2015-10-01,1275.9095866845223
Oruro,2015-10-01,17802.462643704053
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-10-01,60522.36272380222
Trinidad,2015-10-01,2387.272600999738
Potosí,2015-10-01,9901.434200205844
Sucre,2015-10-01,9037.542731851932
Tarija,2015-10-01,6368.572284995368
Montero,2015-10-01,3456.431484027295
Santa Cruz de la Sierra,2015-10-01,69099.90547347211
Santa Cruz Metrópoli,2015-10-01,113903.01273384262
El Alto; La Paz,2015-11-01,67560.09705547849
Caranavi,2015-11-01,186.0993822413695
Riberalta,2015-11-01,1216.6478321571415
Oruro,2015-11-01,17929.96857084252
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-11-01,54072.53084010216
Trinidad,2015-11-01,2376.292090714498
Potosí,2015-11-01,9284.017655664247
Sucre,2015-11-01,8345.67862697606
Tarija,2015-11-01,6216.898492353867
Montero,2015-11-01,3449.651074314937
Santa Cruz de la Sierra,2015-11-01,65041.7983429703
Santa Cruz Metrópoli,2015-11-01,106287.45398853022
El Alto; La Paz,2015-12-01,74356.46673923661
Caranavi,2015-12-01,201.11117844465088
Riberalta,2015-12-01,1275.1363161790644
Oruro,2015-12-01,17904.067001081916
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2015-12-01,56326.704157115084
Trinidad,2015-12-01,2389.5765068014875
Potosí,2015-12-01,9586.775966663286
Sucre,2015-12-01,9049.174772328259
Tarija,2015-12-01,5788.092471206946
Montero,2015-12-01,3235.0795694202175
Santa Cruz de la Sierra,2015-12-01,66377.0124092353
Santa Cruz Metrópoli,2015-12-01,97319.74380738834
El Alto; La Paz,2016-01-01,66731.296822415
Caranavi,2016-01-01,336.67592715040666
Riberalta,2016-01-01,1211.012242051502
Oruro,2016-01-01,17434.696415603245
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-01-01,54183.1893435468
Trinidad,2016-01-01,2185.8164572686646
Potosí,2016-01-01,7564.4019135423805
Sucre,2016-01-01,5547.542507779245
Tarija,2016-01-01,6578.669148688632
Montero,2016-01-01,2696.9086573545837
Santa Cruz de la Sierra,2016-01-01,56418.36345759936
Santa Cruz Metrópoli,2016-01-01,110331.65515973754
El Alto; La Paz,2016-02-01,63496.71300313544
Caranavi,2016-02-01,230.23870290737258
Riberalta,2016-02-01,1176.1908063763021
Oruro,2016-02-01,17956.909708174182
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-02-01,54026.46626205731
Trinidad,2016-02-01,2150.093697933565
Potosí,2016-02-01,10054.991763973798
Sucre,2016-02-01,7923.539896889995
Tarija,2016-02-01,5943.380494668436
Montero,2016-02-01,2903.2086806057114
Santa Cruz de la Sierra,2016-02-01,57991.56446626478
Santa Cruz Metrópoli,2016-02-01,104133.7618709559
El Alto; La Paz,2016-03-01,70934.97177964491
Caranavi,2016-03-01,294.31202945601484
Riberalta,2016-03-01,1189.3440419780031
